DateKey,RegionKey,ChannelKey,ProductKey,Revenue,Profit,Leads,DealsWon
20240607,3,3,10,1277.32,584.48,2,0
20250506,4,1,5,1344.76,390.56,3,0
20241122,1,1,8,2861.79,1473.18,4,0
20240611,3,1,4,2435.05,666.42,4,1
20240507,4,1,9,1236.66,491.7,4,1
20260126,1,3,8,818.08,317.61,1,0
20240317,2,2,6,106.63,28.84,4,0
20251101,3,3,5,779.81,340.46,6,0
20240626,4,3,9,821.17,315.58,6,0
20250606,4,3,10,1028.42,432.31,4,0
20240927,1,3,10,1475.44,388.45,1,0
20250121,4,2,3,686.19,251.57,3,0
20250529,3,1,5,1423.64,599.56,1,0
20240523,2,2,7,1105.15,249.1,6,0
20250304,4,2,1,305.3,63.24,2,0
20240604,4,2,5,1156.97,411.99,2,0
20251220,2,3,3,686.48,202.41,1,1
20240705,2,1,3,939.73,318.14,5,0
20251218,2,2,10,1764.32,830.28,2,0
20241230,1,2,3,1135.55,510.42,4,1
20250203,3,3,5,683.49,130.68,5,0
20250701,4,1,4,841.65,407.97,3,0
20250414,1,1,9,2183.92,603.0,5,0
20250317,4,1,2,204.15,78.06,1,0
20240904,2,2,10,396.98,118.89,4,0
20241128,1,1,5,1477.75,409.4,3,0
20240804,1,1,7,993.51,323.09,5,1
20250530,2,1,4,698.78,219.98,1,1
20250104,2,2,1,1979.61,585.5,5,0
20240318,1,3,3,392.89,148.71,3,1
20241104,3,1,10,596.1,232.29,7,0
20250908,2,1,5,1485.88,551.73,4,0
20250614,4,1,9,2302.58,780.36,2,0
20240424,1,1,4,2061.65,412.65,2,0
20250720,3,1,5,683.94,315.97,1,0
20260107,1,2,6,614.2,174.7,1,0
20250615,1,1,3,3165.34,1040.49,5,0
20260125,1,2,4,1150.38,459.89,4,0
20240902,1,1,10,1728.89,482.78,1,0
20260112,1,2,6,1545.21,303.49,3,0
20250910,1,2,2,3741.48,1195.61,6,0
20250914,1,2,10,716.03,288.95,4,1
20241026,3,2,5,1402.54,754.44,5,0
20250714,2,1,4,896.22,405.56,2,0
20240705,2,3,1,957.24,374.21,4,0
20250624,1,3,4,243.85,80.88,2,0
20251203,2,1,1,474.57,121.51,5,0
20240317,2,2,8,461.11,201.74,3,0
20240810,4,2,10,1108.7,106.01,4,0
20241125,2,3,2,1012.23,340.51,1,0
20250319,1,1,7,641.56,267.91,3,1
20251018,1,1,6,1232.93,349.28,8,0
20250106,2,2,3,323.91,78.34,4,0
20240310,2,1,8,622.58,259.57,2,0
20241024,3,1,5,2128.67,952.59,4,0
20250205,3,1,5,1442.41,703.19,6,0
20250912,2,3,6,415.96,221.73,2,0
20250130,4,2,2,2099.78,1052.48,3,0
20240527,1,1,4,2181.39,526.02,3,1
20250226,1,1,7,768.71,207.43,6,1
20250525,4,1,9,1116.55,542.77,6,0
20250428,2,2,4,692.51,161.87,5,0
20250718,2,2,5,1148.06,477.67,4,0
20240331,4,1,8,401.85,173.03,6,1
20240918,4,1,6,2139.36,701.98,3,0
20240516,2,3,4,596.77,198.78,3,0
20250909,4,1,3,760.77,218.83,4,0
20250319,2,2,6,1957.57,589.04,1,1
20240227,1,3,4,1314.24,409.39,3,0
20250321,4,2,5,814.43,283.42,4,0
20250913,4,2,2,1035.18,266.56,4,1
20240610,3,2,6,767.64,265.9,3,0
20250616,2,2,3,667.29,120.88,5,0
20260128,4,2,10,1693.41,505.98,5,0
20250402,2,2,7,656.49,322.87,1,0
20260224,3,2,4,2466.92,877.01,1,1
20250903,1,1,6,7415.9,3434.43,2,0
20240805,1,3,1,934.83,295.41,4,0
20240914,2,2,4,2571.35,1164.41,1,0
20241121,3,2,3,330.35,153.08,4,0
20241122,4,2,9,1798.44,752.25,4,0
20250526,1,2,7,1379.2,456.38,3,0
20250601,3,1,10,1289.76,317.09,5,0
20260221,4,2,6,358.42,213.49,2,0
20241103,4,1,2,1316.05,248.48,3,0
20260127,3,2,3,1130.6,463.83,1,0
20241217,4,1,9,1211.08,459.69,3,0
20260219,4,2,3,429.71,113.53,2,0
20260214,2,1,6,521.21,140.07,6,0
20250128,4,1,2,2226.84,849.02,6,0
20240418,2,3,5,1972.68,703.63,1,0
20240929,2,3,9,1732.53,575.57,1,1
20240831,1,3,1,704.08,312.14,3,0
20250311,4,3,5,138.12,40.23,2,1
20250702,1,2,1,1686.5,591.05,6,1
20240406,1,1,7,1006.41,327.33,3,0
20240731,1,2,6,670.97,356.9,1,0
20240311,1,3,7,1957.51,1082.31,3,0
20240430,4,1,2,1997.64,848.2,3,0
20250730,4,1,3,1646.13,496.24,3,0
20250203,4,2,10,2128.17,754.35,2,0
20240703,2,1,8,2462.61,700.32,4,0
20251204,1,2,6,767.15,309.83,5,1
20250611,1,2,8,1188.78,136.29,3,0
20240428,3,1,9,1709.61,353.57,4,1
20240713,1,1,5,1591.02,354.54,2,0
20250708,4,3,1,392.81,189.22,5,0
20251010,4,1,4,2903.19,689.11,4,0
20250323,1,2,1,488.56,132.44,2,0
20251231,3,1,5,1492.79,519.16,1,0
20250419,2,2,8,405.32,133.98,2,0
20241210,1,3,7,2051.67,792.44,1,1
20250310,3,2,5,391.98,88.1,3,0
20250629,4,1,7,1516.57,525.78,5,0
20241013,4,2,4,659.9,147.97,2,0
20240406,1,1,1,1660.71,756.49,4,0
20240324,2,3,6,907.21,242.76,5,1
20240709,3,3,5,1350.15,669.22,5,0
20240913,2,1,3,747.53,409.98,3,0
20240329,1,2,3,313.85,96.35,2,0
20240413,3,1,10,735.45,282.46,2,1
20250712,3,1,7,3243.34,1029.6,2,0
20250407,3,1,2,349.46,171.29,3,0
20250921,4,2,6,388.83,220.47,6,0
20260222,2,1,8,3160.51,840.9,4,0
20240603,3,1,5,991.02,587.02,4,0
20260109,1,3,9,268.21,73.79,3,0
20260220,4,2,4,1427.32,521.18,2,0
20250825,4,3,8,935.07,278.76,4,0
20251030,4,1,1,1173.98,430.12,2,1
20250601,3,3,4,229.97,65.61,5,0
20251129,2,2,3,400.37,123.48,2,1
20240301,1,2,4,286.27,75.47,4,1
20240930,1,1,9,2737.98,512.21,3,0
20250712,1,1,2,794.7,262.7,4,1
20250329,1,2,5,761.14,238.91,3,1
20250324,2,2,10,1084.48,275.77,5,0
20240919,2,1,6,1123.69,430.44,3,0
20240311,2,3,4,1110.71,258.66,4,0
20250901,1,3,8,399.14,144.04,3,1
20250531,2,2,3,1600.01,491.38,2,0
20260116,3,2,10,1201.66,210.37,3,0
20250922,2,3,6,125.79,35.86,3,0
20241023,1,2,9,205.79,79.25,9,0
20250911,3,2,10,1413.68,502.97,6,0
20240531,1,1,9,1003.66,134.47,1,0
20250624,4,2,8,2095.76,775.03,5,0
20250407,2,2,9,2132.28,513.23,4,1
20241013,1,2,10,1285.08,432.28,2,1
20251211,4,3,4,2051.24,534.16,5,0
20240814,1,2,2,2737.57,778.36,3,1
20250819,3,1,4,3936.62,1746.6,5,0
20240401,3,3,2,608.7,327.49,3,0
20250803,1,3,4,317.5,98.48,2,0
20240803,3,1,4,770.2,321.77,3,0
20260124,3,2,8,1270.54,657.28,3,0
20241025,4,3,7,985.12,306.79,8,0
20240521,3,3,2,288.5,95.09,3,0
20250925,2,3,5,912.0,316.88,1,0
20260107,4,1,3,1791.52,745.47,3,1
20250904,2,2,2,1338.58,604.83,4,1
20250921,4,2,7,1964.94,478.26,3,0
20251202,4,1,3,1032.51,352.97,1,1
20240324,3,2,1,828.47,140.58,1,0
20251106,2,1,6,841.08,277.8,3,0
20250903,3,3,1,225.6,74.25,3,0
20250130,4,3,4,935.07,246.43,3,0
20250121,3,3,7,783.62,339.29,1,0
20251126,4,2,4,1035.12,522.82,4,1
20250715,2,2,7,1213.24,494.94,3,0
20250207,1,1,10,1210.9,395.63,2,0
20250612,1,3,4,747.58,204.39,2,0
20241013,2,2,1,1574.43,380.88,6,0
20240902,2,1,8,825.66,161.55,2,0
20241007,4,1,10,319.56,99.58,3,1
20250316,1,3,5,735.63,313.3,2,0
20250308,2,1,3,2053.05,595.68,3,1
20241204,2,1,3,1192.77,363.23,1,1
20251119,4,2,5,1680.13,826.37,3,1
20251114,3,2,10,952.76,247.99,3,0
20241110,2,2,9,182.37,52.31,3,0
20250218,3,2,10,1696.43,348.75,2,0
20260204,3,1,9,1983.47,720.27,3,0
20250526,1,1,8,3507.47,632.23,3,0
20250411,3,1,6,1918.31,880.94,4,0
20251205,1,3,8,170.31,48.87,6,1
20250108,1,1,6,183.96,41.99,3,0
20260102,2,3,7,1127.27,368.76,2,0
20241007,4,3,1,203.32,67.04,4,0
20241016,4,1,5,1224.02,410.81,2,0
20260109,4,1,5,3446.28,1259.87,6,0
20251220,1,2,7,1326.21,498.94,4,0
20250305,4,3,8,1331.73,444.96,5,0
20251228,3,2,4,862.48,385.95,7,0
20251025,2,3,9,1301.02,306.05,5,0
20250611,2,2,4,965.76,206.4,5,0
20241015,3,1,9,3837.45,1504.31,9,0
20260117,1,1,4,1281.13,184.58,3,0
20240617,3,3,9,707.95,262.92,3,0
20250706,3,3,5,775.39,295.42,2,1
20250512,2,1,4,1755.59,869.68,4,1
20250911,4,2,7,319.14,149.96,4,0
20241119,2,1,1,1088.76,527.53,4,0
20250719,2,1,3,2485.22,528.43,1,0
20250317,3,2,5,945.33,265.67,4,0
20250318,3,2,1,1005.51,383.15,4,0
20240617,2,1,7,1317.71,266.27,3,0
20251030,1,2,9,895.84,241.38,4,1
20251111,1,1,6,650.35,265.63,1,0
20240516,3,3,4,1041.9,263.9,3,0
20260124,1,2,7,1810.98,555.77,4,0
20240617,3,2,5,1137.65,311.48,4,0
20240227,1,2,5,3578.5,1101.34,3,1
20251128,3,3,5,697.1,88.85,6,0
20241002,1,1,10,2671.08,879.99,4,1
20250913,2,2,6,298.05,153.7,2,0
20241007,3,1,5,482.17,101.33,3,0
20250316,3,2,10,1929.66,516.07,2,1
20250403,1,2,2,2518.51,764.04,2,0
20251124,2,1,1,2161.11,673.87,6,0
20240704,2,2,7,1657.16,503.35,4,0
20240418,3,2,2,157.9,36.51,2,0
20260109,3,1,5,1400.98,644.32,1,1
20260224,1,1,10,2288.76,710.13,1,0
20251228,1,1,1,1712.3,772.84,5,0
20260204,1,2,1,1196.59,341.14,2,0
20250416,1,1,3,2633.55,901.3,6,0
20241029,1,1,4,1503.27,424.69,3,0
20250509,4,2,8,340.52,93.8,2,1
20240915,1,2,2,2315.14,1076.02,1,0
20240827,1,2,3,501.88,209.18,2,0
20240627,2,2,8,754.64,298.39,3,0
20250401,4,2,7,912.43,312.41,3,1
20241215,4,1,6,2584.48,463.6,3,1
20241201,3,1,5,499.65,184.56,3,0
20251027,1,1,7,1204.95,299.8,3,0
20240910,1,2,6,832.47,294.02,2,0
20250720,2,2,4,1128.47,263.18,4,0
20240718,1,1,10,198.01,73.21,2,1
20251026,3,3,3,1118.08,321.31,2,0
20240913,4,3,3,1132.2,313.82,3,0
20240628,1,2,9,1160.19,423.96,4,0
20240830,2,2,9,826.95,320.32,3,0
20250116,4,1,10,1005.01,403.82,3,0
20250603,3,2,2,620.28,268.14,2,0
20250208,4,2,6,2278.22,926.08,4,0
20251216,4,3,1,1796.99,432.01,1,0
20250403,2,1,1,1667.24,634.4,1,0
20250205,3,3,1,1545.83,563.54,3,0
20250720,3,2,1,1872.0,635.97,1,0
20240721,3,2,8,475.32,121.44,4,0
20240722,2,1,5,768.36,232.99,3,0
20260205,4,1,3,1235.29,647.09,3,0
20250628,3,2,1,1845.82,863.29,4,0
20251126,2,1,3,1998.59,549.17,2,1
20250829,2,3,5,2169.54,762.65,1,0
20250128,1,2,7,669.65,260.75,5,0
20251127,4,1,5,1623.1,452.05,5,0
20250612,1,3,1,1653.28,512.86,2,1
20240725,2,1,10,623.33,100.91,3,0
20250415,2,2,5,283.99,146.8,2,0
20241219,3,2,5,1570.95,467.85,3,0
20251028,2,2,3,1346.36,537.35,3,0
20241114,1,1,4,810.51,375.2,4,0
20240718,4,1,4,1269.81,305.51,3,1
20250205,1,2,4,355.5,150.26,1,1
20251110,1,3,9,1311.6,421.34,3,0
20250919,1,3,2,1536.45,501.56,2,0
20240227,2,1,9,698.44,164.08,3,0
20241225,2,2,6,1159.1,304.81,4,0
20241105,3,1,8,504.43,191.2,3,1
20251208,1,2,1,1856.8,561.97,5,1
20250523,3,2,10,707.24,302.27,3,0
20240402,1,1,2,1355.77,519.81,1,1
20240803,2,2,7,194.09,63.33,1,1
20240305,4,1,7,1668.44,474.91,2,0
20241015,2,1,7,1828.87,434.93,4,1
20240603,4,2,4,596.8,213.64,1,1
