Date,Device,TrafficSource,Sessions,Orders,Revenue,Returns,BounceRate
2024-02-26,Mobile,Paid Search,770,15,1267.05,0,0.49
2024-02-26,Mobile,Organic Search,620,13,1279.75,0,0.52
2024-02-26,Mobile,Email,385,10,782.6,0,0.49
2024-02-26,Mobile,Social,453,8,753.49,0,0.319
2024-02-26,Mobile,Referral,349,6,493.1,0,0.308
2024-02-26,Desktop,Paid Search,509,16,1089.04,2,0.46
2024-02-26,Desktop,Organic Search,474,11,1323.63,2,0.371
2024-02-26,Desktop,Email,290,13,915.43,1,0.528
2024-02-26,Desktop,Social,336,8,576.0,0,0.732
2024-02-26,Desktop,Referral,277,10,802.28,0,0.351
2024-02-26,Tablet,Paid Search,214,1,81.8,0,0.413
2024-02-26,Tablet,Organic Search,232,8,494.12,1,0.414
2024-02-26,Tablet,Email,135,3,129.01,0,0.481
2024-02-26,Tablet,Social,148,7,610.02,0,0.524
2024-02-26,Tablet,Referral,113,6,365.75,0,0.448
2024-02-27,Mobile,Paid Search,715,14,1276.07,1,0.523
2024-02-27,Mobile,Organic Search,635,11,1171.47,0,0.387
2024-02-27,Mobile,Email,388,11,917.65,0,0.391
2024-02-27,Mobile,Social,457,10,1063.23,1,0.203
2024-02-27,Mobile,Referral,351,6,292.56,0,0.483
2024-02-27,Desktop,Paid Search,527,16,2202.57,3,0.401
2024-02-27,Desktop,Organic Search,455,21,1458.03,1,0.305
2024-02-27,Desktop,Email,326,11,659.64,0,0.547
2024-02-27,Desktop,Social,299,6,547.77,0,0.358
2024-02-27,Desktop,Referral,254,4,320.76,1,0.385
2024-02-27,Tablet,Paid Search,238,6,691.49,0,0.431
2024-02-27,Tablet,Organic Search,229,7,599.15,1,0.311
2024-02-27,Tablet,Email,121,5,522.62,0,0.541
2024-02-27,Tablet,Social,150,2,167.45,0,0.548
2024-02-27,Tablet,Referral,118,3,246.96,0,0.304
2024-02-28,Mobile,Paid Search,777,17,935.64,0,0.596
2024-02-28,Mobile,Organic Search,677,7,474.83,0,0.399
2024-02-28,Mobile,Email,406,10,937.75,0,0.499
2024-02-28,Mobile,Social,450,5,342.27,0,0.43
2024-02-28,Mobile,Referral,334,7,778.66,0,0.374
2024-02-28,Desktop,Paid Search,549,10,825.61,0,0.417
2024-02-28,Desktop,Organic Search,484,12,1112.56,0,0.415
2024-02-28,Desktop,Email,293,12,1089.23,2,0.286
2024-02-28,Desktop,Social,358,12,569.88,1,0.372
2024-02-28,Desktop,Referral,239,8,604.5,0,0.392
2024-02-28,Tablet,Paid Search,229,4,338.47,0,0.369
2024-02-28,Tablet,Organic Search,208,5,386.17,0,0.581
2024-02-28,Tablet,Email,137,1,94.95,0,0.278
2024-02-28,Tablet,Social,137,4,325.6,0,0.473
2024-02-28,Tablet,Referral,111,2,158.73,0,0.46
2024-02-29,Mobile,Paid Search,681,18,1788.6,0,0.605
2024-02-29,Mobile,Organic Search,650,13,1123.63,0,0.355
2024-02-29,Mobile,Email,359,12,661.75,0,0.405
2024-02-29,Mobile,Social,475,9,1010.21,1,0.577
2024-02-29,Mobile,Referral,325,10,732.7,0,0.466
2024-02-29,Desktop,Paid Search,502,20,1929.96,0,0.359
2024-02-29,Desktop,Organic Search,460,11,914.09,0,0.497
2024-02-29,Desktop,Email,315,6,458.45,0,0.561
2024-02-29,Desktop,Social,357,7,646.53,0,0.522
2024-02-29,Desktop,Referral,256,7,480.58,1,0.264
2024-02-29,Tablet,Paid Search,229,9,510.11,0,0.372
2024-02-29,Tablet,Organic Search,214,9,544.6,2,0.502
2024-02-29,Tablet,Email,136,8,653.01,0,0.255
2024-02-29,Tablet,Social,166,9,433.49,0,0.54
2024-02-29,Tablet,Referral,113,2,152.46,0,0.451
2024-03-01,Mobile,Paid Search,634,21,1538.09,3,0.382
2024-03-01,Mobile,Organic Search,676,20,1545.7,1,0.492
2024-03-01,Mobile,Email,407,12,1010.88,0,0.577
2024-03-01,Mobile,Social,458,9,779.47,0,0.451
2024-03-01,Mobile,Referral,325,8,747.87,0,0.396
2024-03-01,Desktop,Paid Search,499,9,438.44,2,0.336
2024-03-01,Desktop,Organic Search,486,20,908.39,1,0.432
2024-03-01,Desktop,Email,309,9,702.02,0,0.369
2024-03-01,Desktop,Social,326,10,973.98,0,0.361
2024-03-01,Desktop,Referral,254,7,676.85,0,0.355
2024-03-01,Tablet,Paid Search,211,3,213.78,1,0.449
2024-03-01,Tablet,Organic Search,220,9,711.3,2,0.362
2024-03-01,Tablet,Email,140,5,437.41,0,0.552
2024-03-01,Tablet,Social,156,5,355.25,0,0.323
2024-03-01,Tablet,Referral,99,3,309.33,0,0.493
2024-03-02,Mobile,Paid Search,683,16,1211.44,2,0.396
2024-03-02,Mobile,Organic Search,661,15,1030.82,0,0.399
2024-03-02,Mobile,Email,422,12,888.66,0,0.453
2024-03-02,Mobile,Social,447,11,807.45,2,0.5
2024-03-02,Mobile,Referral,345,6,708.71,0,0.242
2024-03-02,Desktop,Paid Search,516,12,859.7,3,0.584
2024-03-02,Desktop,Organic Search,476,13,909.24,1,0.27
2024-03-02,Desktop,Email,281,10,893.58,0,0.531
2024-03-02,Desktop,Social,325,5,324.86,0,0.32
2024-03-02,Desktop,Referral,234,6,465.36,0,0.299
2024-03-02,Tablet,Paid Search,236,8,610.37,0,0.595
2024-03-02,Tablet,Organic Search,224,4,254.22,0,0.179
2024-03-02,Tablet,Email,130,4,264.06,0,0.375
2024-03-02,Tablet,Social,165,5,459.98,0,0.484
2024-03-02,Tablet,Referral,99,1,61.35,0,0.603
2024-03-03,Mobile,Paid Search,647,18,988.78,0,0.43
2024-03-03,Mobile,Organic Search,606,9,700.55,0,0.406
2024-03-03,Mobile,Email,380,13,1003.27,1,0.354
2024-03-03,Mobile,Social,435,11,1008.32,0,0.445
2024-03-03,Mobile,Referral,325,7,591.43,0,0.264
2024-03-03,Desktop,Paid Search,509,20,1443.47,0,0.532
2024-03-03,Desktop,Organic Search,447,13,624.51,0,0.458
2024-03-03,Desktop,Email,306,13,833.88,1,0.434
2024-03-03,Desktop,Social,342,6,404.8,0,0.258
2024-03-03,Desktop,Referral,235,4,302.61,0,0.393
2024-03-03,Tablet,Paid Search,230,5,401.42,0,0.38
2024-03-03,Tablet,Organic Search,206,6,373.94,1,0.323
2024-03-03,Tablet,Email,136,5,277.92,0,0.445
2024-03-03,Tablet,Social,153,1,87.2,0,0.394
2024-03-03,Tablet,Referral,118,5,425.74,1,0.267
2024-03-04,Mobile,Paid Search,690,7,515.0,0,0.321
2024-03-04,Mobile,Organic Search,618,24,1299.39,1,0.491
2024-03-04,Mobile,Email,385,17,1029.83,0,0.321
2024-03-04,Mobile,Social,460,10,966.74,0,0.408
2024-03-04,Mobile,Referral,334,9,534.46,4,0.412
2024-03-04,Desktop,Paid Search,494,9,918.13,1,0.292
2024-03-04,Desktop,Organic Search,475,11,957.59,1,0.489
2024-03-04,Desktop,Email,289,7,686.26,0,0.379
2024-03-04,Desktop,Social,332,8,532.71,2,0.339
2024-03-04,Desktop,Referral,254,4,256.71,0,0.506
2024-03-04,Tablet,Paid Search,222,1,86.53,0,0.438
2024-03-04,Tablet,Organic Search,206,3,241.07,0,0.624
2024-03-04,Tablet,Email,124,4,292.74,0,0.403
2024-03-04,Tablet,Social,149,3,270.27,0,0.592
2024-03-04,Tablet,Referral,110,0,0.0,0,0.259
2024-03-05,Mobile,Paid Search,748,19,1314.94,3,0.447
2024-03-05,Mobile,Organic Search,686,14,1326.66,1,0.573
2024-03-05,Mobile,Email,408,10,1088.92,1,0.466
2024-03-05,Mobile,Social,480,11,848.93,0,0.449
2024-03-05,Mobile,Referral,346,2,144.9,0,0.414
2024-03-05,Desktop,Paid Search,505,10,915.58,1,0.349
2024-03-05,Desktop,Organic Search,466,15,721.69,1,0.37
2024-03-05,Desktop,Email,296,16,1441.67,1,0.373
2024-03-05,Desktop,Social,346,6,473.09,1,0.402
2024-03-05,Desktop,Referral,239,4,358.3,0,0.362
2024-03-05,Tablet,Paid Search,244,6,499.97,0,0.36
2024-03-05,Tablet,Organic Search,213,5,375.13,0,0.37
2024-03-05,Tablet,Email,145,5,429.78,0,0.435
2024-03-05,Tablet,Social,163,2,121.27,0,0.421
2024-03-05,Tablet,Referral,112,3,248.83,0,0.38
2024-03-06,Mobile,Paid Search,704,8,566.51,0,0.365
2024-03-06,Mobile,Organic Search,681,14,1052.84,1,0.313
2024-03-06,Mobile,Email,430,12,842.93,0,0.43
2024-03-06,Mobile,Social,465,20,1419.98,0,0.342
2024-03-06,Mobile,Referral,346,10,716.63,0,0.634
2024-03-06,Desktop,Paid Search,530,14,1105.66,1,0.469
2024-03-06,Desktop,Organic Search,466,10,843.3,0,0.389
2024-03-06,Desktop,Email,288,12,1044.05,1,0.324
2024-03-06,Desktop,Social,351,8,586.62,0,0.347
2024-03-06,Desktop,Referral,246,4,334.92,0,0.415
2024-03-06,Tablet,Paid Search,224,5,462.28,0,0.305
2024-03-06,Tablet,Organic Search,224,6,326.65,0,0.273
2024-03-06,Tablet,Email,134,3,270.96,0,0.457
2024-03-06,Tablet,Social,155,4,345.8,1,0.418
2024-03-06,Tablet,Referral,104,0,0.0,0,0.339
2024-03-07,Mobile,Paid Search,683,20,1887.0,0,0.584
2024-03-07,Mobile,Organic Search,642,15,884.66,0,0.538
2024-03-07,Mobile,Email,413,12,961.43,0,0.349
2024-03-07,Mobile,Social,470,11,1001.62,1,0.611
2024-03-07,Mobile,Referral,345,7,530.09,0,0.504
2024-03-07,Desktop,Paid Search,554,12,857.69,1,0.309
2024-03-07,Desktop,Organic Search,483,7,506.26,0,0.496
2024-03-07,Desktop,Email,302,10,890.59,2,0.449
2024-03-07,Desktop,Social,330,8,482.33,1,0.394
2024-03-07,Desktop,Referral,250,5,373.29,0,0.497
2024-03-07,Tablet,Paid Search,228,5,438.21,0,0.302
2024-03-07,Tablet,Organic Search,219,10,881.36,0,0.425
2024-03-07,Tablet,Email,136,2,188.09,0,0.603
2024-03-07,Tablet,Social,154,6,140.4,1,0.592
2024-03-07,Tablet,Referral,109,3,219.38,1,0.403
2024-03-08,Mobile,Paid Search,762,17,1326.01,3,0.321
2024-03-08,Mobile,Organic Search,718,21,1059.09,3,0.443
2024-03-08,Mobile,Email,429,8,702.27,1,0.55
2024-03-08,Mobile,Social,432,13,797.45,2,0.428
2024-03-08,Mobile,Referral,311,10,488.56,0,0.421
2024-03-08,Desktop,Paid Search,514,12,1128.92,2,0.26
2024-03-08,Desktop,Organic Search,473,9,486.39,0,0.278
